Sample	localityID	Depth	Month	Year	Alopias_vulpinus	Galeorhinus_galeus	Lamna_nasus	Leucoraja_naevus	Mustelus_asterias	Raja_brachyura	Raja_clavata	Raja_microocellata	Raja_montagui	Raja_undulata	Scyliorhinus_canicula	Scyliorhinus_stellaris	Squalus_acanthias
MBA-2017.05.31-E1-02	E1	2	5	2017	0	0	0	0	5	1	9	2	46	0	0	0	0
MBA-2017.05.31-E1-02	E1	2	5	2017	0	0	0	0	0	1	0	0	1	0	0	0	0
MBA-2017.05.31-E1-02	E1	2	5	2017	0	0	0	0	0	0	0	0	1	0	88	0	0
MBA-2017.05.31-L5-01	L5	1	5	2017	0	0	0	0	612	51312	0	25	2093	0	43145	0	0
MBA-2017.05.31-L5-01	L5	1	5	2017	0	0	0	0	0	12	0	0	3428	0	1712	0	0
MBA-2017.05.31-L5-01	L5	1	5	2017	0	0	0	0	0	0	0	0	0	0	4	0	0
MBA-2017.05.31-L5-02	L5	2	5	2017	0	1	0	0	0	582	0	50	2343	0	1489	0	0
MBA-2017.05.31-L5-02	L5	2	5	2017	0	0	0	0	7	74	12	4	662	0	14	12	9
MBA-2017.05.31-L5-02	L5	2	5	2017	0	0	0	0	4	0	0	0	24	0	23	0	0
MBA-2017.06.13-E1-01	E1	1	6	2017	0	0	0	0	0	4	55562	44	2	0	172168	0	0
MBA-2017.06.13-E1-01	E1	1	6	2017	0	0	0	0	0	183	2	19	58100	0	79693	0	0
MBA-2017.06.13-E1-01	E1	1	6	2017	0	0	0	0	0	0	1	0	0	0	5	0	0
MBA-2017.06.13-E1-02	E1	2	6	2017	0	0	0	0	0	0	2	0	0	0	3	0	3
MBA-2017.06.13-E1-02	E1	2	6	2017	0	0	0	0	0	1	3	0	0	0	0	0	0
MBA-2017.06.13-E1-02	E1	2	6	2017	0	0	0	0	0	0	0	0	0	0	11	0	0
MBA-2017.06.13-L5-01	L5	1	6	2017	0	0	0	0	0	0	0	0	0	0	542544	0	0
MBA-2017.06.13-L5-01	L5	1	6	2017	0	0	0	0	0	3	0	0	0	0	224	0	0
MBA-2017.06.13-L5-01	L5	1	6	2017	0	0	0	0	0	8	0	0	2	0	7309	0	0
MBA-2017.06.13-L5-02	L5	2	6	2017	0	0	0	0	0	0	0	0	7	0	0	0	0
MBA-2017.06.13-L5-02	L5	2	6	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.06.13-L5-02	L5	2	6	2017	0	0	0	0	0	0	0	0	0	0	4	0	0
MBA-2017.06.15-L4-01	L4	1	6	2017	0	0	0	0	14842	599514	23	41352	161860	0	130450	2	0
MBA-2017.06.15-L4-01	L4	1	6	2017	0	0	0	0	76178	1109729	39848	68413	722087	2	143725	0	0
MBA-2017.06.15-L4-01	L4	1	6	2017	0	0	0	0	2	17	1	1	5	0	2	0	0
MBA-2017.06.15-L4-02	L4	2	6	2017	0	0	0	0	0	343434	1	837	84625	1	41145	1	0
MBA-2017.06.15-L4-02	L4	2	6	2017	0	0	0	0	0	18858	79	1	3434	0	1619	0	0
MBA-2017.06.15-L4-02	L4	2	6	2017	0	0	0	0	0	4555	0	85	3953	0	2369	0	0
MBA-2017.06.28-L4-01	L4	1	6	2017	0	0	0	0	0	0	19	0	0	0	66884	0	2
MBA-2017.06.28-L4-01	L4	1	6	2017	0	0	0	0	0	0	32072	1	1	0	0	0	0
MBA-2017.06.28-L4-01	L4	1	6	2017	0	0	0	0	0	19	36793	0	15	0	0	0	0
MBA-2017.06.28-L4-02	L4	2	6	2017	0	0	0	0	13531	47398	0	0	783	0	22	0	0
MBA-2017.06.28-L4-02	L4	2	6	2017	0	0	0	0	0	0	0	0	0	0	175467	0	0
MBA-2017.06.28-L4-02	L4	2	6	2017	0	0	0	0	0	101427	0	13	15305	0	135	0	0
MBA-2017.07.13-E1-01	E1	1	7	2017	0	0	0	0	0	0	0	0	0	0	57	0	0
MBA-2017.07.13-E1-01	E1	1	7	2017	0	0	0	0	0	0	0	0	0	0	1062	0	0
MBA-2017.07.13-E1-01	E1	1	7	2017	0	0	0	0	0	44	18631	2	5692	0	17529	0	0
MBA-2017.07.13-E1-02	E1	2	7	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.07.13-E1-02	E1	2	7	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.07.13-E1-02	E1	2	7	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.07.13-L5-01	L5	1	7	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.07.13-L5-01	L5	1	7	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.07.13-L5-01	L5	1	7	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.07.13-L5-02	L5	2	7	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.07.13-L5-02	L5	2	7	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.07.13-L5-02	L5	2	7	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.07.17-L4-01	L4	1	7	2017	0	0	0	0	0	0	0	0	0	0	36200	0	0
MBA-2017.07.17-L4-01	L4	1	7	2017	0	0	0	0	0	49423	14	2	817	0	0	0	0
MBA-2017.07.17-L4-01	L4	1	7	2017	0	0	0	0	0	0	8	0	0	0	29704	0	0
MBA-2017.07.17-L4-02	L4	2	7	2017	0	0	4	0	4	538	61	75	171147	0	2	306650	0
MBA-2017.07.17-L4-02	L4	2	7	2017	0	0	0	0	0	15674	10	0	223	0	9	0	0
MBA-2017.07.17-L4-02	L4	2	7	2017	0	0	0	0	0	0	2	0	0	0	0	0	0
MBA-2017.08.08-L4-01	L4	1	8	2017	0	0	0	0	0	422	0	0	17	0	3	0	0
MBA-2017.08.08-L4-01	L4	1	8	2017	0	0	0	0	0	0	0	0	1	0	0	0	0
MBA-2017.08.08-L4-01	L4	1	8	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.08.08-L4-02	L4	2	8	2017	0	0	0	0	0	0	0	0	4	0	0	0	0
MBA-2017.08.08-L4-02	L4	2	8	2017	0	0	0	0	0	0	0	0	6	0	0	0	0
MBA-2017.08.08-L4-02	L4	2	8	2017	0	0	0	0	0	0	0	0	1	0	0	0	0
MBA-2017.08.24-E1-01	E1	1	8	2017	0	0	0	0	0	0	0	0	0	0	0	0	0
MBA-2017.08.24-E1-01	E1	1	8	2017	0	0	0	0	0	370	0	0	1	0	0	0	0
